day,revenue_usd,cost_usd,penalty_usd,nutrient,pher_awareness_interest,pher_interest_discovery,pher_discovery_starter,pher_starter_professional,pher_professional_enterprise
1,5500.0,700.9999999999994,0.0,4798.9999999999945,2.0194782237244775,1.2360628320945404,1.154458944180982,0.485,0.291
2,1000.0,1.0000000000000004,0.0,999.0000000000007,3.3295860002584057,1.3282888238860417,1.1198251758555526,0.47045,0.28226999999999997
3,3000.0,350.99999999999926,0.0,2649.000000000001,4.5044380956994505,1.4356150155147627,1.1643158887857867,0.4563365,0.27380189999999993
4,5000.0,700.9999999999993,0.0,4298.999999999993,5.533957243800481,1.5602204195633127,1.2970602666362059,0.44264640499999997,0.26558784299999993
5,28000.0,3400.999999999999,7500.0,17098.99999999998,6.113485770083551,1.8285655185176144,1.528468336221993,0.5983481801268404,0.25762020770999994
6,12000.0,1250.9999999999993,0.0,10748.999999999985,6.857316565318046,2.12935796958528,1.621758865861191,0.6583683700369825,0.24989160147869993
7,500.0,1.0000000000000004,0.0,499.0000000000001,8.05444875961637,2.162625539239856,1.5731060998853552,0.6386173189358729,0.24239485343433892
8,1000.0,1.0000000000000004,0.0,999.0000000000006,9.106774787257702,2.303787282632837,1.5259129168887946,0.6194587993677967,0.23512300783130874
9,3000.0,350.9999999999992,0.0,2649.000000000001,10.0,2.38865740886176,1.5618335388125213,0.6008750353867628,0.22806931759636948
10,6500.0,700.9999999999991,0.0,5798.999999999987,10.0,2.6550491446987463,1.660240318313824,0.5828487843251599,0.22122723806847838
11,3500.0,350.99999999999994,0.0,3149.0000000000005,10.0,2.836962350124696,1.7048749825674103,0.5653633207954051,0.21459042092642402
12,9000.0,900.9999999999994,0.0,8098.999999999985,10.0,3.016145323810165,1.7394664746737538,0.6341401627549086,0.2081527082986313
13,11000.0,1400.9999999999993,0.0,9598.999999999987,10.0,3.251238339096942,1.9130023164930758,0.6151159578722614,0.20190812704967237
14,6000.0,700.9999999999993,0.0,5298.999999999993,10.0,3.428430501229741,2.001373333599548,0.5966624791360935,0.1958508832381822
15,7000.0,700.9999999999994,0.0,6298.999999999991,10.0,3.6700418622080107,2.065706157309352,0.5787626047620107,0.18997535674103672
16,13000.0,1600.9999999999993,0.0,11398.999999999984,10.0,3.820875789901886,2.209163279852356,0.6413592595562702,0.1842760960388056
17,10500.0,1250.9999999999995,0.0,9248.999999999989,10.0,3.9424823859214015,2.312963350119623,0.7174211761596013,0.17874781315764143
18,3000.0,350.9999999999992,0.0,2649.000000000001,10.0,4.037358875615078,2.3566643687959687,0.6958985408748133,0.17338537876291218
19,12000.0,1250.9999999999993,0.0,10748.99999999999,10.0,4.202477135474705,2.397952837347345,0.7377750651146928,0.1681838174000248
20,10000.0,1250.999999999999,0.0,8748.99999999998,10.0,4.233711033433167,2.483322464249627,0.8037905664628647,0.16313830287802406
21,10500.0,1250.999999999999,0.0,9248.99999999998,10.0,4.288922720566662,2.5400135688805765,0.8531905168478016,0.15824415379168333
22,25500.0,3200.999999999999,0.0,22298.99999999998,10.0,4.457162163946392,2.72538221386252,0.9294061802673204,0.15349682917793284
23,39000.0,4101.000000000002,25000.0,9898.999999999985,10.0,4.684624077250564,2.8596263905079544,1.0081471276748368,0.18580708015108743
24,30500.0,3200.999999999999,0.0,27298.999999999978,10.0,4.803661457749878,2.982876610080394,1.0727067446210465,0.2750368985230097
25,17500.0,1950.9999999999995,0.0,15548.99999999999,10.0,5.053278064783288,3.086872649441012,1.0982172259981473,0.2667857915673194
